-- 회원 주소2


insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('lee12', '06009', '서울시 강남구 압구정로 417 (압구정동)', '8층', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('skchoi', '04521', '서울특별시 중구 남대문로 125', '(다동) 1801호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('palpadac', '07505', '서울시 강서구 하늘길 260', '에스케이뷰파크 110동 2201호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('hyuan-li', '04563', '서울특별시 중구 장충단로 275 (을지로6가)', '두산타워빌딩 1206호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('hee.yang', '22502', '인천광역시 동구 인중로 489 ', '나동 1105호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('cheangengmi', '51711', '경상남도 창원시 성산구 두산볼보로 22 (귀곡동)  ', '나동 1106호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('cha18', '52509', '경남 사천시 축동면 구해창길 20-7번지', '3306호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('hsucom123', '52529', '경상남도 사천시 사남면 공단1로 78', '다동 203호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('sohyunee', '04322', '서울특별시 용산구 한강대로71길 4 (갈월동)  ', '다동 206호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('sekjung', '04541', '서울특별시 중구 청계천로 86 (장교동, 한화빌딩)', '4층 무역센터', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('khy375', '04541', '서울 중구 청계천로 86 한화빌딩', '12층', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('bluesky', '04541', '서울시 중구 청계천로 86 한화빌딩', '19층', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('je0435', '04541', '서울특별시 중구 청계천로 86', '7층', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('young2357', '04541', '경남 창원시 성산구 창원대로', '1204호(성주동)', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('medine', '18463', '경기도 화성시 동탄면 영천로 174 (영천리 79-17)', '푸르지오 2차 104동 1102호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('lim0912', '16082', '경기도 의왕시 철도박물관로37', '바동 1002호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('castle', '16082', '경기도 의왕시 철도박물관로37', '기술연구소 16층', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('giwoo99', '13201', '경기도 성남시 중원구 사기막골로 105번길 27 (상대원동)', '동원빌딩 1004호', 'n');
insert into t_member_addr(ml_id, ma_zip, ma_addr1, ma_addr2, ma_basic) values ('ychilSim', '03058', '서울특별시 종로구 율곡로 75 (계동) ', '바동 1007호', 'n');
